Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
7,4,4,21,1,0,0,22,4760
7,4,4,21,1,0,0,22,4860
8,4,9,34,1,25,61,23,9950
8,4,9,34,1,25,61,23,9910
8,4,9,34,1,25,61,23,9900
8,4,9,34,1,25,61,23,9210
8,4,9,34,1,25,61,23,9270
8,4,9,34,1,25,61,23,9280
8,4,9,34,1,25,61,23,8980
8,4,9,34,1,25,61,23,9060
8,4,9,34,1,25,61,23,9130
8,4,9,34,1,25,61,23,9530
8,4,9,34,1,25,61,23,9060
8,4,9,34,1,25,61,23,9170
8,4,9,34,1,25,61,23,9330
8,4,9,34,1,25,61,23,9320
8,4,9,34,1,25,61,23,10090
8,4,9,34,1,25,61,23,9600
8,4,9,34,1,25,61,23,9400
8,4,9,34,1,25,61,23,9290
8,4,9,34,1,25,61,23,9930
8,4,9,34,1,25,61,23,9640
8,4,9,34,1,25,61,23,9880
8,4,9,34,1,25,61,23,9880
8,4,9,34,1,25,61,23,10020
8,4,9,34,1,25,61,23,10120
8,4,9,34,1,25,61,23,10100
8,4,9,34,1,25,61,23,9280
8,4,9,34,1,25,61,23,9310
8,4,9,34,1,0,61,23,8890
8,4,9,34,1,0,61,23,8080
8,4,9,34,1,0,61,23,7990
8,4,9,34,1,0,61,23,8080
8,4,9,34,1,0,61,23,8150
8,4,9,34,1,0,61,23,7450
8,4,9,34,1,0,61,23,7300
8,4,9,34,1,0,61,23,7430
8,4,9,34,1,0,61,23,7910
8,4,9,34,1,0,61,23,8560
8,4,9,34,1,0,61,23,7740
8,4,9,34,1,0,61,23,7900
8,4,9,34,1,0,61,23,8080
8,4,9,34,1,0,61,23,7460
8,4,9,34,1,0,61,23,7030
8,4,9,34,1,0,61,23,7510
8,4,9,34,1,0,0,23,6920
8,4,9,34,1,0,0,23,6500
8,4,9,34,1,0,0,23,6080
8,4,9,34,1,0,0,23,6260
8,4,9,34,1,0,0,23,5920
8,4,9,34,1,0,0,23,5940
8,4,9,34,1,0,0,23,5730
8,4,9,34,1,0,0,23,5600
8,4,9,34,1,0,0,23,5530
8,4,9,34,1,0,0,23,5090
8,4,9,34,1,0,0,23,5360
8,4,9,34,1,0,0,23,5160
8,4,9,34,1,0,0,23,5110
8,4,9,34,1,0,0,23,5080
8,4,9,34,1,0,0,23,4900
8,4,9,34,1,0,0,23,4890
8,4,9,34,1,0,0,23,4670
8,4,9,34,1,0,0,23,4450
8,4,9,34,1,0,0,23,4740
8,4,9,34,1,0,0,23,4440
8,4,9,34,1,0,0,23,4270
8,4,9,34,1,0,0,23,4330
8,4,9,34,1,0,0,23,4210
8,4,9,34,1,0,0,23,4000
9,5,9,23,2,20,46,42,9370
9,5,9,23,2,20,46,42,9260
9,5,9,23,2,20,46,42,8910
9,5,9,23,2,20,46,42,8600
9,5,9,23,2,20,46,42,8750
9,5,9,23,2,20,46,42,8430
9,5,9,23,2,20,46,42,8270
9,5,9,23,2,20,46,42,8300
9,5,9,23,2,20,46,42,8500
9,5,9,23,2,20,46,42,8230
9,5,9,23,2,20,46,42,8340
9,5,9,23,2,20,46,42,8450
9,5,9,23,2,20,46,42,8370
9,5,9,23,2,20,46,42,8640
9,5,9,23,2,20,46,42,8260
9,5,9,23,2,20,46,42,8290
9,5,9,23,2,20,46,42,8650
9,5,9,23,2,20,46,42,8410
9,5,9,23,2,20,46,42,8390
9,5,9,23,2,20,46,42,8300
9,5,9,23,2,20,46,42,8680
9,5,9,23,2,20,46,42,8460
9,5,9,23,2,20,46,42,8420
9,5,9,23,2,20,46,42,8750
9,5,9,23,2,20,46,42,8630
9,5,9,23,2,20,46,42,8230
9,5,9,23,2,20,46,42,7670
9,5,9,23,2,0,46,42,7430
9,5,9,23,2,0,46,42,6920
9,5,9,23,2,0,46,42,6640
9,5,9,23,2,0,46,42,6410
9,5,9,23,2,0,46,42,6110
9,5,9,23,2,0,46,42,6100
9,5,9,23,2,0,46,42,6120
9,5,9,23,2,0,46,42,6400
9,5,9,23,2,0,46,42,6480
9,5,9,23,2,0,46,42,6440
9,5,9,23,2,0,46,42,6390
9,5,9,23,2,0,46,42,6320
9,5,9,23,2,0,46,42,6190
9,5,9,23,2,0,46,42,6040
9,5,9,23,2,0,46,42,5930
9,5,9,23,2,0,46,42,5710
9,5,9,23,2,0,0,42,5550
9,5,9,23,2,0,0,42,5630
9,5,9,23,2,0,0,42,5300
9,5,9,23,2,0,0,42,5170
9,5,9,23,2,0,0,42,5110
9,5,9,23,2,0,0,42,4980
9,5,9,23,2,0,0,42,4770
9,5,9,23,2,0,0,42,4620
9,5,9,23,2,0,0,42,4330
9,5,9,23,2,0,0,42,4400
9,5,9,23,2,0,0,42,4170
9,5,9,23,2,0,0,42,3920
9,5,9,23,2,0,0,42,3760
9,5,9,23,2,0,0,42,3820
9,5,9,23,2,0,0,42,3670
9,5,9,23,2,0,0,42,3610
9,5,9,23,2,0,0,42,3460
9,5,9,23,2,0,0,42,3440
9,5,9,23,2,0,0,42,3280
9,5,9,23,2,0,0,42,3230
9,5,9,23,2,0,0,42,3170
9,5,9,23,2,0,0,42,3220
9,5,9,23,2,0,0,42,3130
9,5,9,23,2,0,0,42,3040
10,11,9,29,3,20,52,62,8400
10,11,9,29,3,20,52,62,8150
10,11,9,29,3,20,52,62,7990
10,11,9,29,3,20,52,62,7800
10,11,9,29,3,20,52,62,7740
10,11,9,29,3,20,52,62,7380
10,11,9,29,3,20,52,62,7540
10,11,9,29,3,20,52,62,7450
10,11,9,29,3,20,52,62,7310
10,11,9,29,3,20,52,62,7380
10,11,9,29,3,20,52,62,7400
10,11,9,29,3,20,52,62,7200
10,11,9,29,3,20,52,62,7370
10,11,9,29,3,20,52,62,7370
10,11,9,29,3,20,52,62,7670
10,11,9,29,3,20,52,62,7460
10,11,9,29,3,20,52,62,7430
10,11,9,29,3,20,52,62,7420
10,11,9,29,3,20,52,62,7300
10,11,9,29,3,20,52,62,7640
10,11,9,29,3,20,52,62,7500
10,11,9,29,3,20,52,62,7500
10,11,9,29,3,20,52,62,7150
10,11,9,29,3,20,52,62,7140
10,11,9,29,3,20,52,62,7400
10,11,9,29,3,20,52,62,7300
10,11,9,29,3,20,52,62,6810
10,11,9,29,3,0,52,62,6290
10,11,9,29,3,0,52,62,6220
10,11,9,29,3,0,52,62,5800
10,11,9,29,3,0,52,62,5740
10,11,9,29,3,0,52,62,5340
10,11,9,29,3,0,52,62,5370
10,11,9,29,3,0,52,62,5240
10,11,9,29,3,0,52,62,5500
10,11,9,29,3,0,52,62,5700
10,11,9,29,3,0,52,62,5760
10,11,9,29,3,0,52,62,5720
10,11,9,29,3,0,52,62,5560
